transaction_id,amount,transaction_type,time_of_day,customer_id,location,flagged_fraud
196,3498.603650380482,credit,evening,246,online,yes
197,7262.297231913692,refund,evening,856,online,no
198,8972.131496926246,debit,night,944,in-store,no
199,8871.993378408522,refund,evening,748,online,no
200,7800.956703117662,debit,morning,33,online,no
201,6423.896145081335,debit,night,361,in-store,no
202,850.5582503005378,refund,evening,753,online,no
203,1624.6708538051917,debit,night,330,in-store,no
204,8986.556343385522,refund,afternoon,512,online,yes
205,6068.226305999304,debit,night,850,online,no
206,101.87854565013018,credit,evening,787,in-store,no
207,1023.7007132316608,credit,morning,71,in-store,no
208,6638.3826733894775,debit,night,313,in-store,no
209,60.56522262372468,debit,night,915,online,no
210,1616.4724336608115,refund,evening,728,in-store,no
211,5491.850555772196,credit,morning,79,in-store,no
212,6922.033024950006,refund,morning,169,online,no
213,6523.09298243098,debit,afternoon,810,online,no
214,2250.4504015109924,debit,afternoon,983,online,no
215,7124.670421261883,refund,evening,180,in-store,no
216,2380.1183840930325,debit,morning,628,online,no
217,3260.7429846110845,credit,morning,260,online,no
218,7467.4491371290615,refund,afternoon,486,in-store,no
219,6499.832661481674,credit,afternoon,772,online,no
220,8493.741870836837,credit,evening,5,online,no
221,6579.55279408043,credit,morning,297,in-store,no
222,5687.402947321361,refund,night,620,online,no
223,945.8109306026438,debit,afternoon,855,in-store,no
224,3683.480872563741,credit,evening,360,in-store,no
225,2659.371653140437,credit,morning,117,in-store,no
226,2447.456537357045,credit,morning,357,in-store,no
227,9730.375441976932,debit,afternoon,957,in-store,no
228,3937.0462694209364,debit,evening,843,online,no
229,8921.545086219361,refund,night,439,in-store,no
230,6315.074873712656,debit,afternoon,331,in-store,yes
231,7950.164922381067,refund,evening,525,in-store,no
232,5031.34456012087,refund,morning,654,in-store,no
233,5773.269807417328,refund,night,188,online,no
234,4930.251761250451,refund,evening,968,online,no
235,1960.4774481024645,refund,night,281,online,no
236,7227.296631462438,credit,evening,511,in-store,no
237,2814.9159007841495,debit,evening,466,online,no
238,252.91650465022386,credit,evening,115,online,no
239,6458.268236112606,refund,evening,940,in-store,no
240,1779.3356872764189,debit,night,236,in-store,no
241,9405.181257685614,credit,afternoon,338,online,no
242,9539.746484255847,credit,night,522,online,no
243,9149.49525830228,refund,evening,199,online,no
244,3707.8854155518893,credit,night,764,online,no
245,164.4115991233856,credit,night,50,in-store,no
246,9283.902440251377,credit,night,940,in-store,no
247,4287.55964168997,credit,evening,142,in-store,no
248,9666.881642246259,credit,night,783,in-store,no
249,9636.563571121636,refund,morning,528,in-store,no
250,8531.564460118927,refund,evening,514,online,no
251,2951.5444317751612,credit,night,670,in-store,no
252,3857.126308733233,refund,morning,30,in-store,no
253,8512.8553484534,refund,night,82,online,no
254,3176.050831511214,debit,afternoon,31,in-store,no
255,1703.232539394064,credit,night,748,online,no
256,5572.444611958918,refund,night,333,in-store,no
257,9362.186193866202,refund,afternoon,660,in-store,no
258,6963.3376687829805,credit,evening,177,in-store,no
259,5704.911089192756,debit,afternoon,370,online,no
260,980.7931727699777,credit,evening,547,in-store,no
261,6153.922194724706,debit,afternoon,535,online,no
262,9900.63796254159,credit,night,106,in-store,no
263,1409.439312212875,credit,night,97,in-store,no
264,5188.11322711373,credit,evening,230,online,no
265,8774.956988560274,credit,evening,227,online,no
266,7410.278491364503,debit,morning,371,in-store,no
267,6973.187252542727,debit,morning,100,online,no
268,7027.8159990312215,refund,night,445,in-store,no
269,3601.316600685354,credit,night,468,in-store,no
270,2942.982524202289,debit,morning,55,online,no
271,8095.517943230351,debit,morning,195,online,no
272,8103.0328128450155,debit,evening,520,online,no
273,8672.052462615236,credit,afternoon,424,in-store,no
274,9133.273120039148,refund,evening,315,online,no
275,5118.310564620769,debit,morning,128,in-store,no
276,5020.147783925124,credit,night,32,online,no
277,7984.968837878084,debit,morning,93,online,no
278,6503.139668469874,debit,night,519,online,no
279,7022.649103804456,refund,night,258,online,no
280,7959.96876766665,debit,night,853,online,no
281,8901.153364757487,debit,night,902,in-store,no
282,3386.571616946843,credit,afternoon,220,online,no
283,3762.0736968730407,credit,morning,752,online,no
284,948.8795790102813,refund,evening,106,in-store,no
285,5787.018608551778,credit,night,548,in-store,no
286,369.06331522945345,credit,night,416,in-store,no
287,4661.324201143277,refund,evening,557,in-store,no
288,5431.01990072869,debit,evening,810,online,no
289,2872.547108761561,refund,night,309,online,no
290,5912.424273084417,credit,evening,366,in-store,no
291,314.6974968911038,refund,evening,521,online,no
292,383.10840560465203,debit,afternoon,459,in-store,no
293,8227.779600989987,refund,evening,599,in-store,no
294,3608.3045076985163,credit,morning,370,online,no
295,1279.334521392329,credit,morning,331,online,no
296,5227.210167947495,refund,morning,689,in-store,no
297,7702.235595455122,debit,night,642,online,no
298,2166.0520646934633,refund,morning,707,in-store,no
299,6232.675853431812,debit,afternoon,11,in-store,no
300,862.6211752877423,debit,morning,818,in-store,no
301,526.3003944743909,refund,night,507,in-store,no
302,5318.232769365798,debit,afternoon,419,online,no
303,5410.944864884964,credit,morning,122,in-store,no
304,6377.924715967083,refund,afternoon,911,in-store,no
305,7263.652423889389,debit,afternoon,235,in-store,no
306,9758.76227383072,credit,night,331,online,no
307,5167.840479528941,refund,night,543,in-store,no
308,3236.335164683047,credit,afternoon,348,in-store,no
309,7953.91008573935,credit,morning,958,online,no
310,2715.6141901081214,credit,night,412,in-store,no
311,4395.324492849305,debit,afternoon,224,in-store,no
312,793.7792496092369,refund,evening,153,in-store,no
313,263.2539267204205,refund,evening,212,in-store,no
314,9626.857662632472,debit,night,92,online,no
315,8361.441403916937,refund,morning,921,online,no
316,6962.782318876043,credit,evening,331,online,no
317,4095.439914698556,refund,evening,467,in-store,no
318,1741.2102575077492,debit,evening,860,online,no
319,1572.8060562841497,credit,morning,641,online,no
320,2509.926552664307,debit,morning,955,in-store,no
321,5496.774380414144,credit,night,709,online,no
322,7148.813267773623,credit,night,970,online,no
323,6605.371793410135,refund,evening,554,online,no
324,2806.539630489969,credit,morning,878,in-store,yes
325,9549.104153825308,debit,afternoon,930,in-store,no
326,7381.590197790728,refund,evening,228,online,no
327,5547.996984588893,debit,night,194,online,no
328,6121.090254881179,credit,morning,530,in-store,no
329,4201.804623653621,debit,night,845,in-store,no
330,2484.832585116563,debit,night,243,in-store,no
331,3566.167059726103,credit,morning,389,in-store,no
332,7580.882643539047,refund,evening,276,online,no
333,153.79095141126112,debit,morning,450,in-store,no
334,1169.5656786640932,credit,evening,639,online,no
335,469.56639379730996,refund,night,587,in-store,no
336,416.88073516651167,refund,morning,574,in-store,no
337,8556.051234269962,refund,afternoon,478,in-store,no
338,7039.542015206436,debit,evening,480,in-store,no
339,4746.996552582379,debit,afternoon,288,online,yes
340,987.3632649035047,debit,evening,698,online,no
341,4921.242592417155,refund,morning,690,online,no
342,4739.982990097851,debit,afternoon,678,in-store,no
343,1740.2866804010516,credit,morning,695,online,no
344,4344.177975887351,debit,evening,540,in-store,no
345,3991.0622966297606,debit,evening,330,in-store,no
346,6162.342479541642,refund,evening,470,online,no
347,6354.585572167762,debit,evening,759,in-store,no
348,462.5870576227247,credit,night,849,in-store,no
349,3752.3800201184476,refund,evening,534,online,no
350,6262.3405579852215,credit,afternoon,939,in-store,no
351,5036.3312232150765,refund,evening,467,in-store,no
352,8566.33351347134,refund,morning,977,online,no
353,6590.349379873261,debit,night,984,online,no
354,1637.7149265434825,credit,afternoon,420,in-store,no
355,714.9817865302941,refund,night,608,online,no
356,6427.768589281093,debit,night,122,in-store,no
357,274.8479923108019,refund,night,762,online,no
358,5861.898056921898,refund,morning,891,in-store,no
359,9402.900111835326,refund,night,308,online,no
360,5758.987036980031,refund,night,932,online,no
361,3887.817562803154,refund,evening,924,in-store,no
362,6436.449302239108,refund,morning,334,online,no
363,4587.946376010251,debit,afternoon,954,online,no
364,5460.71172526619,refund,afternoon,420,in-store,no
365,9415.233439677486,credit,afternoon,326,online,no
366,3867.1653516297347,debit,morning,649,online,no
367,9612.293732600903,credit,afternoon,789,online,no
368,9054.452913141076,refund,morning,832,in-store,no
369,1965.9534365450713,credit,evening,844,online,no
370,702.9193957429029,refund,evening,573,in-store,no
371,1016.7722337604922,refund,morning,250,in-store,no
372,192.0360382589818,debit,afternoon,990,online,no
373,953.4851779517247,debit,morning,95,in-store,no
374,6833.237666429405,refund,morning,296,in-store,no
375,721.1745981176875,debit,night,184,in-store,no
376,3196.5665466346754,credit,morning,260,in-store,no
377,8450.304356584851,debit,night,799,online,no
378,242.4866380009004,debit,evening,667,online,no
379,8146.540141063469,credit,night,186,online,no
380,2825.7291999862655,debit,morning,409,in-store,no
381,1190.466627940346,refund,evening,69,in-store,no
382,6970.404281987865,credit,night,838,online,no
383,6293.139039331041,refund,morning,773,in-store,no
384,8775.945415135258,credit,evening,627,online,no
385,7353.359727600819,refund,night,859,in-store,no
386,8036.7744945446375,refund,morning,8,online,no
387,2827.5253799873517,debit,morning,265,online,no
388,1782.621042359431,refund,afternoon,783,online,no
389,7508.641368892175,debit,afternoon,484,in-store,no
390,8070.279045279967,credit,night,761,online,no
391,9905.146368586726,refund,night,617,in-store,yes
392,4132.05059234515,refund,night,775,in-store,no
393,3726.460677069904,credit,morning,736,online,no
394,7766.365477812548,credit,night,840,online,no
395,3414.627367127648,refund,morning,371,in-store,no
396,9308.26568277961,credit,night,783,in-store,no
397,8585.543390911687,debit,morning,677,online,no
398,4295.650333476433,credit,morning,83,online,no
399,7511.201967237059,credit,afternoon,807,in-store,no
400,7547.883312105977,refund,evening,646,online,no
401,1040.2074496709668,debit,morning,211,online,no
402,9026.503537728871,credit,night,313,online,no
403,5057.471200754093,debit,afternoon,604,online,no
404,8266.310086416339,debit,night,337,in-store,no
405,3207.2955142958112,debit,night,490,in-store,no
406,8956.277052677042,refund,morning,403,online,no
407,3898.1247705542896,credit,morning,639,online,no
408,118.26813828818062,refund,evening,191,in-store,no
409,9054.765944428444,credit,morning,671,in-store,no
410,921.9539010934742,credit,morning,843,in-store,no
411,3199.9432395282447,refund,evening,335,in-store,no
412,9501.119050837542,debit,night,522,in-store,no
413,9506.565397906186,debit,evening,619,online,no
414,5738.644502351628,credit,evening,87,online,no
415,6322.053749576295,refund,evening,579,in-store,no
416,4489.970764563414,debit,afternoon,62,in-store,no
417,2939.1756092636647,debit,night,387,online,no
418,3293.3588082454603,credit,afternoon,146,in-store,no
419,6728.459376209614,credit,afternoon,153,in-store,no
420,7526.221549082424,refund,morning,619,online,no
421,7917.874646821227,credit,evening,660,online,no
422,7898.285246517594,debit,evening,698,online,no
423,921.1489694564168,debit,afternoon,349,online,no
424,4949.258843978789,debit,morning,854,in-store,no
425,585.0120125662764,debit,morning,178,online,no
426,5499.793534414118,refund,morning,889,in-store,no
427,4420.889708720037,refund,night,847,in-store,no
428,8878.164785755414,credit,afternoon,487,in-store,no
429,3515.640975395266,credit,night,778,in-store,no
430,1179.4994941117825,credit,morning,661,online,no
431,1438.4869037078302,refund,morning,247,in-store,no
432,7617.491210857548,debit,morning,254,in-store,no
433,6185.998452529448,credit,evening,500,in-store,no
434,1020.2155344666745,debit,afternoon,541,online,no
435,850.2269930888243,credit,evening,352,online,no
436,7012.681623276609,credit,night,512,online,no
437,736.9024335782933,credit,evening,778,online,no
438,8220.381992310658,credit,afternoon,13,online,no
439,7065.359849293397,credit,evening,559,in-store,no
440,822.6743186125786,debit,morning,151,online,no
441,857.5287637110673,credit,night,50,in-store,no
442,9866.529389226744,debit,night,215,online,no
443,3748.965249603642,refund,morning,991,in-store,no
444,3712.71504919824,credit,morning,644,online,no
445,8129.8676769024505,debit,morning,372,in-store,no
446,9473.013288064749,refund,afternoon,113,online,no
447,9860.15062759048,refund,evening,252,in-store,no
448,7536.248070736827,refund,night,963,in-store,no
449,3768.8332594538483,debit,evening,341,in-store,no
450,844.1721598197009,credit,morning,53,in-store,no
451,7773.697690115094,credit,morning,130,in-store,no
452,5588.458454860693,debit,evening,836,in-store,no
453,4247.977872377293,credit,night,193,online,no
454,9064.480307096412,debit,afternoon,591,online,no
455,1120.862848238452,credit,evening,57,in-store,no
456,4931.3247918656825,refund,morning,97,in-store,no
457,123.4229112265165,credit,morning,198,in-store,no
458,4691.919813521322,debit,afternoon,647,in-store,no
459,572.4697240615551,debit,evening,147,in-store,no
460,1196.9909835180385,refund,afternoon,684,in-store,no
461,1184.0872053032779,debit,afternoon,575,in-store,no
462,6495.610918139475,credit,night,577,online,no
463,7462.988343861579,credit,night,295,in-store,no
464,5837.853963320625,refund,morning,723,in-store,no
465,9622.103759260674,debit,evening,621,online,no
466,3754.9570894418034,refund,night,794,online,no
467,2864.2637419557886,credit,morning,684,in-store,no
468,8687.305290612709,refund,evening,12,online,no
469,2243.722426809332,debit,morning,918,online,no
470,9632.593169011707,refund,night,333,online,yes
471,131.42320215126523,debit,morning,220,in-store,no
472,9699.089478809314,debit,evening,398,in-store,no
473,441.1675203862554,credit,evening,342,online,no
474,8912.51970584373,credit,morning,798,in-store,no
475,5281.734079772135,credit,evening,512,in-store,no
476,9929.71831323181,debit,morning,172,in-store,no
477,747.2276817066346,refund,evening,468,online,no
478,5543.004301169195,debit,morning,748,online,no
479,9693.332330834799,credit,morning,987,online,no
480,5235.747463259787,credit,morning,166,online,no
481,6297.692394971273,refund,afternoon,699,in-store,no
482,6960.529402956326,credit,evening,170,in-store,no
483,4550.865237030054,credit,night,564,in-store,no
484,6279.305220039794,credit,morning,512,online,no
485,5847.299976111772,refund,afternoon,831,online,no
486,9012.56852480498,debit,night,189,in-store,no
487,464.00933961116414,credit,morning,120,online,no
488,2816.8222640263807,refund,night,105,online,no
489,9504.610725924822,credit,afternoon,674,in-store,no
490,8903.735201070254,refund,night,807,online,no
491,4562.010960329272,credit,morning,41,online,yes
492,6205.124652037352,refund,night,889,in-store,no
493,2781.0380179815156,credit,night,876,online,no
494,1889.3303856403754,debit,morning,677,in-store,no
495,4642.347065350422,credit,afternoon,321,in-store,no
496,3539.9887579802676,refund,afternoon,886,online,no
497,5840.724557390212,credit,night,335,in-store,no
498,786.5690232801985,debit,evening,160,online,no
499,9744.204128585003,credit,night,264,online,no
500,9862.245337351233,refund,evening,865,online,no
501,6984.6355230572535,refund,night,530,online,no
502,5365.602699777763,debit,afternoon,685,online,no
503,3102.1808867004142,refund,night,477,online,no
504,8139.812246872417,credit,night,352,online,no
505,6850.464413813254,credit,evening,545,online,no
506,1634.5432240554642,credit,afternoon,773,online,no
507,9110.162573093487,refund,evening,210,in-store,no
508,8227.147056802458,credit,night,496,in-store,no
509,9498.501133786322,credit,morning,895,online,no
510,7259.937888799716,credit,night,842,online,no
511,6138.017807398541,debit,night,382,online,no
512,4188.247932543282,refund,evening,676,in-store,no
513,9327.957548706592,refund,morning,481,in-store,no
514,8661.97825610908,refund,morning,919,online,no
515,461.7345143608322,debit,evening,936,online,no
516,273.40607522754755,refund,afternoon,5,online,no
517,3770.8690351117157,debit,morning,34,in-store,no
518,8107.427774510511,debit,morning,792,online,no
519,9872.888531856295,refund,evening,145,in-store,no
520,1512.6647421242465,credit,afternoon,351,in-store,no
521,5945.36584636783,credit,afternoon,583,online,no
522,3815.099657743905,refund,night,465,in-store,no
523,9699.444834167885,refund,night,348,online,no
524,8422.76804212573,debit,evening,742,in-store,no
525,8384.903760064268,refund,afternoon,125,in-store,no
526,4692.244666351753,debit,evening,790,online,no
527,4154.0468283532755,refund,night,271,online,no
528,2741.3366485877555,credit,evening,357,in-store,no
529,573.1912115427618,credit,evening,527,in-store,no
530,8648.576538787982,refund,morning,754,in-store,no
531,8130.881081209475,debit,morning,498,online,no
532,9997.179556128445,credit,morning,153,online,no
533,9966.402002368315,debit,night,53,online,no
534,5558.762738970248,refund,evening,149,online,no
535,7692.1842776533,refund,morning,503,in-store,no
536,9448.209641525456,credit,morning,870,in-store,no
537,8497.977432867341,refund,morning,450,in-store,no
538,2481.0075364145446,credit,night,219,in-store,no
539,4510.935911747834,debit,night,625,in-store,no
540,1300.302557363435,credit,evening,800,online,no
541,9540.969762314637,credit,evening,277,online,no
542,6065.684598164292,debit,evening,452,in-store,no
543,2294.1416269795927,credit,morning,428,in-store,no
544,6720.289837214509,credit,afternoon,83,in-store,no
545,6185.101122174379,refund,night,962,in-store,no
546,3588.0455531480766,debit,morning,218,in-store,no
547,1144.440346074294,credit,morning,738,in-store,no
548,6719.016223972068,debit,evening,782,in-store,no
549,5207.873932028895,debit,evening,527,in-store,no
550,7725.460733439037,credit,morning,404,online,no
551,5206.433376108814,refund,night,290,in-store,no
552,8523.293188182215,debit,night,420,in-store,no
553,5523.549319357111,credit,morning,339,online,no
554,5613.770335638509,debit,afternoon,777,online,no
555,8767.769490556866,refund,afternoon,711,in-store,no
556,4040.7938334618466,refund,night,670,online,no
557,1348.812132221901,refund,evening,845,online,no
558,297.53893637025635,credit,afternoon,987,in-store,no
559,7553.821184179454,credit,afternoon,959,online,no
560,6206.892418021112,refund,evening,419,in-store,no
561,7043.756883311244,credit,afternoon,909,in-store,no
562,2137.5119734740183,refund,morning,207,in-store,no
563,1372.35104111183,credit,afternoon,686,online,no
564,155.30121002214048,refund,evening,696,online,no
565,3512.3697124779037,debit,morning,265,in-store,no
566,5903.277691677785,refund,afternoon,983,in-store,no
567,3928.518010546326,refund,night,758,online,no
568,4380.374471017053,credit,morning,36,in-store,no
569,9042.545357992547,credit,morning,373,online,no
570,3489.0721155627703,credit,night,488,online,no
571,5144.75499670651,credit,night,259,online,no
572,7838.693597284019,credit,afternoon,994,online,no
573,3971.462395389489,credit,afternoon,531,online,no
574,6224.646135276456,debit,evening,924,online,no
575,8625.013450379984,refund,evening,23,in-store,no
576,9495.711030339844,refund,morning,104,in-store,no
577,1479.264074481089,refund,night,241,online,no
578,9266.610375363329,debit,night,903,online,no
579,4926.241767864586,refund,evening,873,in-store,no
580,2589.861439106594,debit,morning,716,in-store,no
581,4596.76620482023,debit,morning,253,in-store,no
582,9800.525427101915,debit,evening,142,in-store,no
583,4931.254758988767,refund,evening,814,in-store,no
584,3294.228586772207,debit,evening,655,in-store,no
585,6337.6745346240905,refund,afternoon,451,in-store,no
586,2409.054731594149,refund,morning,783,in-store,no
587,767.8746478055525,credit,morning,307,online,no
588,1297.5084218873858,credit,morning,984,in-store,no
589,1289.1779311881467,debit,evening,500,online,no
590,1527.5079081878205,debit,evening,622,in-store,no
591,1396.8834547676072,refund,evening,8,in-store,no
592,6412.338700584114,debit,evening,69,in-store,no
593,1826.9820431474568,debit,night,702,in-store,no
594,3463.2161604053936,refund,evening,691,in-store,no
